DOC CODE,DOC DESCRIPTION,PROP,FIRST PARTY,SECOND PARTY,AMOUNT,COMMENTS
OGL ,"ACKNOWLEDGMENT OF PAYMENT, EXTENSION OF TERM & RATIFICATION OF OIL, GAS (MINERAL) LEASE.",O,signatory party (lessor),Current lessee,N,"IF Lessor does not sign, change Type to = AK Grantor-signature        Grantee- other party"
ADDT,ADDENDUM TO DEED OF TRUST,O,borrower (sig.),"lender (beneficiary, payable to order of)",O,
ADML,ADDENDUM TO MECHANICS LIEN CONTRACT,O,owner,contractor ,N,"IF Owner, Contractors & Lender sign
Grantor- owner & Old contractor
Grantee- lender & New contractor 
If No New Contractor Signing
Grantor- owner
Grantee- lender & contractor"
ADD,ADDENDUM/ADDITION (General/combined),O,all signatures,"""PUBLIC""",N, Use ADD code only when you cannot identify doc. being amended or multiple docs are combined.
ADL,ADMINISTRATIVE LIEN,O,party claiming lien (usually State),claimed against,N,
AG,ADOPTION AGREEMENT (filed in land records),O,signature (party adopting),"party adopting from , if given, otherwise ""PUBLIC""",N,
PET,ADOPTION PETITION TO COURT BY AN ADULT,O,party petitioning to be allowed to be adopted,"""PUBLIC""",N,
AF,AFFIDAVIT,O,"signature & who sig. represents, if any","""PUBLIC""",N,"If document concerns action by and between sig. & other parties, 
sig. does Not need to be repeated as a grantee.
*may need reference depending on content.
*If doc is giving Heirship information – keep title as AF, use deceased party as the grantee."
WAS,AFFIDAVIT  -  CERTIFICATION OF OSSF REQUIRING MAINTENANCE,O,"signatory party (usually owner) index all parties named in document, even  if not signing","""PUBLIC""",N,
AF,AFFIDAVIT   (DEALING WITH FORECLOSURE),O,"signature (if it states at sig. or in body, that party is officer of Company, key Company Name Only), (if states at sig. or in body, that party is or has been acting as Trustee, key as  Trustee)","""PUBLIC""",N,
AF,AFFIDAVIT -- DEALING WITH CORRECTING A PREVIOUSLY FILED DOCUMENT OR TO FILE FOR RECORD A LOST OR MISPLACED DOCUMENT.,O,signatory party,"""PUBLIC""",N,"THE DOCUMENT BEING CORRECTED IS ATTACHED IN ITS   ENTIRETY,  YOU WOULD INDEX THE ATTACHED DOCUMENT .  ***IF NO DOC. IS ATTACHED INDEX AS THE ‘AF”.  INSTEAD OF THE AFFIDAVIT."
AG,AFFIDAVIT AND AGREEMENT,O,signature (borrower),"lender, if given, otherwise ""PUBLIC""",N,
AF,AFFIDAVIT OF “NOT THE SAME PERSON AS”,O,signatory party,"""PUBLIC""",N,
AF,AFFIDAVIT OF “SAME PERSON AS”,O,signatory party,"""PUBLIC""",N,
AF,AFFIDAVIT OF ADVERSE POSSESSION ,O,"signature & who sig. represents, if any","""PUBLIC""",N,
AF,AFFIDAVIT OF AFFIXATION,O,"signature(s), owner, contractor, &/or noteholder, whichever sign","""PUBLIC""",N,
AF,AFFIDAVIT OF COMMENCEMENT,O,"signature(s), owner, contractor, &/or noteholder, whichever sign","""PUBLIC""",N,
AF,AFFIDAVIT OF COMPLETION ,O,"signature(s), owner, contractor, &/or noteholder, whichever sign","""PUBLIC""",N,
AF,AFFIDAVIT OF COMPLIANCE ,O,"signature(s), owner, contractor, &/or noteholder, whichever sign","""PUBLIC""",N,
CORA,AFFIDAVIT of CORRECTION -- DEALING WITH CORRECTING A PREVIOUSLY FILED  DOCUMENT OR TO FILE FOR RECORD A LOST OR MISPLACED DOCUMENT.,O,Grantors of original document & Signature & Who Signature represents,Grantee of original document,N,USE FOR WISE COUNTY ONLY
AF,AFFIDAVIT OF EXTENSION OF OIL AND GAS LEASE,O,signature (this would be the Lessee),"""PUBLIC""",N,"*The Option to Extend has already been exercised, this is just Aff. to that fact"
AH,AFFIDAVIT OF HEIRSHIP,O,Deceased,"""PUBLIC""",N,"*If doc is Titled just Affidavit, keep title as is and use these instruction for AH. We would not need to key ESTATE as a name designator parties on this document. Accounted for based on doc type."
AHC,AFFIDAVIT OF HEIRSHIP AND CONVEYANCE,O,"signature   (be sure to look for sig. among the notaries, as supporting affidavits)",Primary Deceased Party (show Deceased after name) & party conveyed to if type AHC ,N,"*If doc is Titled just Affidavit, keep title as is and use these instruction for AH. We would not need to key ESTATE as a name designator parties on this document. Accounted for based on doc type."
LC,AFFIDAVIT OF LIEN,O,party claiming lien (sig.),"claimed against   (possibly contractor, owner, sub-contractor, supplier) ",N,
AF,AFFIDAVIT OF NAME CHANGE ,O,"signatory party, if about self,  index both old & new name","""PUBLIC""",N,*If about other than party signing – Grantor- signatory party  Grantee- both old & new name
WAS,AFFIDAVIT OF NEED TO JOIN PROPERTIES ,O,"signatory party (usually owner) index all parties named in document, even  if not signing","""PUBLIC""",N,
AF,AFFIDAVIT OF NON-PRODUCTION or PRODUCTION,O,signature,"""PUBLIC""",N,
AF,AFFIDAVIT OF NOTICE GIVEN (Dealing With Forfeiture of Contract that has Already Happened),O,signatory party & sellers                                                  ,"""PUBLIC""",N,
AF,AFFIDAVIT OF NOTICE OF TRUSTEE’S SALE,O,"signature (if it states at sig. or in body, that party is officer of Company, key Company Name Only), (if states at sig. or in body, that party is or has been acting as Trustee, key as  Trustee)","""PUBLIC""",N,
RME,AGAINST THE ESTATE,O,signatory party,claimed against party being released,N,
AG,AGREEMENT,O,signature,other party,N,"*If all sign & no definition made, index all as grantor/grantee"
CV,AGREEMENT & CONVEYANCE,O,"signature  (if involves an estate, include primary deceased )",conveyed unto,N,
AG,AGREEMENT & EASEMENT FOR UNDERGROUND SERVICE LATERAL,O,Property owner,other party ,N,"*If dealing with contractor, Grantee = Contractor"
AG,AGREEMENT & STIPULATION,O,signature,other party,N,"*If all sign & no definition made, index all as grantor/grantee"
AG,AGREEMENT BETWEEN CONTRACTOR AND OWNER,O,Property owner,other party ,N,"*If dealing with contractor, Grantee = Contractor"
AG,AGREEMENT DEFINING AREA EMBRACED WITHIN AN EASEMENT,O,signature,other party,N,"*If all sign & no definition made, index all as grantor/grantee"
ADML,AGREEMENT FOR ADDITIONAL WORK UNDER BUILDER’S & MECHANIC’S LIEN CONTRACT,O,signature (owner),contractor,N,
AAG,AGREEMENT FOR/OF SUBSTITUTION OF LIABILITY,O,"purchaser, (sig.) & borrower, lender usually signs also, do not index lender as grantor",lender (take from signature area) ,N,
AG,AGREEMENT NOT TO PROBATE WILL,O,signature & primary deceased party,signature,N,"Do not need to included ""deceased"" designation if given on document for party name(s)"
CV,AGREEMENT NOT TO PROBATE WILL AND CONVEYANCE,O,signatures & primary deceased party,party conveyed to,N,"Do not need to included ""deceased"" designation if given on document for party name(s)"
MOD,AGREEMENT READJUSTING PAYMENTS,O,borrower,(take from sig. area only),N,*If signing parties are borrower and lender *Otherwise --Grantor-signatory party  Grantee-other party
UA,AGREEMENT TO BECOME A PARTY TO A POOLED UNIT,O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,UNIT NAME INFORMATION
UA,AGREEMENT TO BECOME PARTY TO A UNIT AGREEMENT /DECLAR./DESIG.,O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,UNIT NAME INFORMATION
LS,AGREEMENT TO EXTEND PRIMARY TERM OF LEASE,O,"signature (granting extension, lessor)  ",current lessee,N,"**IF Lessor does not sign, change Type to =  AG  Grantor- signature  Grantee- other party"
OGL,"AGREEMENT TO EXTEND PRIMARY TERM OF OIL, GAS AND MINERAL LEASE",O,"signature (granting extension, lessor)  ",current lessee,N,"**IF Lessor does not sign, change Type to =  AG  Grantor- signature  Grantee- other party"
CS,AGREEMENT TO SELL REAL ESTATE,O,seller (sig.),purchaser,N,IF only purchaser signs Grantor- signature (purchaser)  Grantee- other party (seller)
AG,"AGREEMENT, REGULATORY",O,signature (Borrower),Lender,N,
SI,"AGREEMENT, STIPULATION OF INTEREST & CROSS-CONVEYANCE",O,signatory party ,"party stipulated to have interest  Or  ""PUBLIC""",N,
MOD,ALLONGE,O,borrower  (sig.),lender,N,
AM,AMENDMENT    (Use AM code only when you cannot identify doc. being amended.),O,all signatures,"""PUBLIC""",N,"**Except for following listings all amendments will use instructions below  Determine what type doc. is being changed and use type code & instructions for original doc.  If type cannot be determined or multiple docs. combined, use the following"
AMC,AMENDMENT TO DECLARATION OF CONDOMINIUM   ,O,signatory party (owner) ,Condominium name,N,
AMD,AMENDMENT TO DEED OF TRUST,O,borrower (sig.),"lender (beneficiary, payable to order of)",N,
LS,AMENDMENT TO LEASE,O,lessor (sig.)    ,Current lessee,N,"**IF Lessor does not sign, change Type to =  AM  Grantor- signature  Grantee- other party"
URA,AMENDMENT TO LEASE & RATIFICATION OF UNIT,O,"signature - usually property owner, mineral owner, or royalty owner.  ",Unit name and  LESSEE (Current Lessee) ,N," IF Lessee or Operator also sign, index as additional Grantees not Grantors."
AMM,AMENDMENT TO MECHANICS LIEN CONTRACT,O,owner,contractor,N,"IF Owner, Contractors & Lender sign  Grantor- owner & Old contractor  Grantee- lender & New contractor.     If No New Contractor Signing  Grantor- owner  Grantee- lender & contractor"
AMG,AMENDMENT TO MORTGAGE,O,borrower (sig.) (mortgagor),lender  (mortgagee),N,
AMD,"AMENDMENT TO MORTGAGE, DEED OF TRUST, FINANCING STATEMENT, Etc.",O,,,N,"If 3 party document, Borrower, Trustee and Lender  =See Amendment to Deed of Trust"
AMG,"AMENDMENT TO MORTGAGE, DEED OF TRUST, FINANCING STATEMENT, Etc.",O,,,N,"If 2 party document, Borrower and Lender = See Amendment to Mortgage"
OGL,AMENDMENT TO OIL & GAS LEASE,O,lessor (sig.)    ,Current lessee,N,"**IF Lessor does not sign, change Type to =  AM  Grantor- signature  Grantee- other party"
OGL,"AMENDMENT TO OIL, GAS & MINERAL LEASE",O,lessor (sig.)    ,Current lessee,N,"**IF Lessor does not sign, change Type to =  AM  Grantor- signature  Grantee- other party"
AMP,AMENDMENT TO PLAT,O,"sig., usually the Surveyor (show title) & Property Owner (if given) and property name","sig., usually the Surveyor (show title) & Property Owner (if given) and property name",N,
ANX,ANNEXATION,O,party doing annexing (sig.),"being annexed, you should expect this usually to be a property name, town name,  School district, etc.",N,
RS,ANNEXATION TO RESTRICTIVE COVENANTS,O,"party doing annexing (sig.) & Subdivision being annexed into, if applies","Subdivision being annexed, if given, otherwise ""PUBLIC""",N,
APL,APPLICATION                                                         ,O,"applicant & whom they represent, if any        ",applied to,N, *If dealing with Probate/Suit key Type Code & parties according to instructions for such
ROD,APPLICATION FOR REMOVAL OF DISABILITIES    ,O,person for whom Disabilities are to be removed,"""PUBLIC""",N,
APL,APPLICATION TO CONDITION ABANDONED WELL FOR FRESH WATER PRODUCTION,O,"applicant & whom they represent, if any","applied to, usually the TEXAS RAILROAD COMMISSION",N,
APP,APPOINTMENT,O,"party doing appointing (sig.) & whom they represent, if any","being appointed (if deals with Receiver, does not need word ‘receiver’ used after name",N,
APP,APPOINTMENT OF RECEIVER,O,"party doing appointing (sig.) & whom they represent, if any","being appointed (if deals with Receiver, does not need word ‘receiver’ used after name",N,
AT,APPOINTMENT OF SUBSTITUTE TRUSTEE,O,"party doing appointing (sig.) & whom they represent & Borrowers, if any",being appointed (word ‘trustee’ not needed after name) ,N,
AT,APPOINTMENT OF SUCCESSOR TRUSTEE,O,"party doing appointing (sig.) & whom they represent & Borrowers, if any",being appointed (word ‘trustee’ not needed after name) ,N,
AT,APPOINTMENT OF TRUSTEE,O,"party doing appointing (sig.) & whom they represent & Borrowers, if any",being appointed (word ‘trustee’ not needed after name) ,N,
AA,ARTICLES OF ASSOCIATION,O,Business names,"""PUBLIC""",N,
CI,ARTICLES OF INCORPORATION,O,Business names,"""PUBLIC""",N,
CI,ARTICLES OF INCORPORATION  (CERTIFICATE OF),O,Business names,"""PUBLIC""",N,
LC,ASSESSMENT LIEN BY A CITY (if for paving see P’s for Paving Lien),O,party claiming lien (sig.)   ,"party claimed against, ",N,
ALN,ASSESSMENT LIEN BY HOMEOWNERS ASSOCIATION,O,party claiming lien (sig.)   ,"party claimed against, if no name given, use UNKNOWN",N,
ALD,ASSESSMENT LIEN DEED,O,"sig., party sig. represents (if other than self) & party assessed against (owner)",purchaser,N,
ALD,ASSESSMENT LIEN SUBSTITUTE TRUSTEE’S DEED,O,"sig., party sig. represents (if other than self) & party assessed against (owner)",purchaser,N,
AS,ASSIGNMENT,O,"party assigning (sig.) & borrower, if applicable",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
ABS,ASSIGNMENT & BILL OF SALE,O,"party assigning (sig.) & borrower, if any",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
AS,ASSIGNMENT & CONVEYANCE,O,"party assigning (sig.) & borrower, if applicable",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
AS,ASSIGNMENT & TRANSFER,O,"party assigning (sig.) & borrower, if applicable",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
AL,ASSIGNMENT & TRANSFER OF LIEN,O,party assigning (sig.) & borrower  ,assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
AS,ASSIGNMENT (&CONVEYANCE) OF OIL & GAS INTEREST,O,party assigning (sig.),assigned to,N,
ASJ,ASSIGNMENT OF ABSTRACT OF JUDGMENT,O,party assigning (sig.) & debtor (recovered against),assigned to,N,
AL,ASSIGNMENT OF ANY OF THE “LC” LIEN AFFIDAVIT/CLAIM/NOTICE DOC’S,O,signatory party & party claimed against,assigned to,N,"*If multiple assignments/more than 8 claimed against parties, do not index any"
AOC,ASSIGNMENT OF CONTRACT,O,party assigning (sig.),assigned to,N,
AOC,ASSIGNMENT OF CONTRACT FOR DEED,O,party assigning (sig.),assigned to,N,
AOC,ASSIGNMENT OF CONTRACT OF SALE,O,party assigning (sig.),assigned to,N,
AL,ASSIGNMENT OF DEED OF TRUST,O,party assigning (sig.) & borrower,assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
ASJ,ASSIGNMENT OF JUDGMENT,O,party assigning (sig.) & debtor (recovered against),assigned to,N,
ASL,ASSIGNMENT OF LEASE,O,party assigning (sig.),assigned to,N,
ASL,ASSIGNMENT OF LEASE & RENTS,O,party assigning (sig.),assigned to,N,
ASL,ASSIGNMENT OF LEASE INTEREST,O,party assigning (sig.),assigned to,N,
AL,ASSIGNMENT OF LIEN,O,party assigning (sig.) & borrower  ,assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
AL,ASSIGNMENT OF MECHANICS LIEN CONTRACT,O,party assigning (sig.) & borrower  ,assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
ASM,ASSIGNMENT OF MINERAL ETC. & BILL OF SALE,O,party assigning (sig.),assigned to,N,
ASM,ASSIGNMENT OF MINERAL INTEREST OR / MINERAL & ROYALTY INTEREST,O,party assigning (sig.),assigned to,N,
AL,ASSIGNMENT OF MORTGAGE,O,party assigning (sig.) & borrower,assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
AS,ASSIGNMENT OF NET PROFITS ,O,party assigning (sig.),assigned to,N,
ASL,ASSIGNMENT OF OIL & GAS LEASE,O,party assigning (sig.),assigned to,N,
ASL,ASSIGNMENT OF OIL & GAS LEASE,O,party assigning (sig.),assigned to,N,
ABS,ASSIGNMENT OF OIL & GAS LEASE AND BILL OF SALE,O,party assigning (sig.),assigned to,N,
ABS,ASSIGNMENT OF OIL & GAS LEASE AND BILL OF SALE,O,party assigning (sig.),assigned to,N,
ASR,ASSIGNMENT OF OIL & GAS ROYALTY A PERPETUAL DEEDED ROYALTY,O,party assigning (sig.),assigned to,N,
AS,ASSIGNMENT OF OPTION,O,party assigning (sig.),assigned to,N,
ASR,ASSIGNMENT OF OVERRIDING ROYALTY (ROYALTIES),O,party assigning (sig.),assigned to,N,
AL,ASSIGNMENT OF PAVING ASSESSMENT CERTIFICATES ,O,signatory party & party claimed against,assigned to,N,"*If multiple assignments/more than 8 claimed against parties, do not index any"
AS,ASSIGNMENT OF PRODUCTION PAYMENT,O,party assigning (sig.),assigned to,N,
AS,ASSIGNMENT OF RENTALS,O,party assigning (sig.),assigned to,N,
ASL,ASSIGNMENT OF RENTALS AND LEASES / OIL&GAS LEASES,O,party assigning (sig.),assigned to,N,
ASR,ASSIGNMENT OF ROYALTY & BILL OF SALE,O,party assigning (sig.),assigned to,N,
ASM,ASSIGNMENT OF ROYALTY AND MINERAL INTEREST,O,party assigning (sig.),assigned to,N,
ASR,ASSIGNMENT OF ROYALTY INTEREST,O,party assigning (sig.),assigned to,N,
ASR,ASSIGNMENT OF ROYALTY INTEREST OVERRIDING,O,party assigning (sig.),assigned to,N,
AOC,ASSIGNMENT OF TAX LIEN CONTRACT ,O,party assigning (sig.)/Taxpayer,assigned to,N,**IF keying this Title- add Taxpayer to the Grantor
AOC,ASSIGNMENT OF TAX LIEN TRANSFER  ,O,party assigning (sig.)/Taxpayer,assigned to,N,**IF keying this Title- add Taxpayer to the Grantor
ASL,ASSIGNMENT OF WORKING INTEREST,O,party assigning (sig.),assigned to,N,
AL,"ASSIGNMENT, ASSUMPTION & MODIFICATION OF DEED OF TRUST (AND   FIXTURE FILING & SECURITY AGREEMENT & ASSIGNMENT OF LEASES)",O,"signature (assignor, borrower and assumptor (new borrower)",party assigned to,N,
ABS,"ASSIGNMENT, CONVEYANCE & BILL OF SALE",O,"party assigning (sig.) & borrower, if any",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
MD,"ASSIGNMENT, CONVEYANCE & MINERAL DEED",O,signatory party ,"conveyed, sold to",N,
AN,ASSUMED NAME,O,party who will be using new name,"New Name  (Do not abbreviate, spell out all words in new name)",N,"*IF grantor is individuals you will need to key even those shown with titles not usually indexed (president, etc.).  Do not key the title, just the person.  Also, do not key titles such as partner or joint venturer, just key the person.
*IF the new name starts with “The” you will need to key 2 times. 
 Example:  The Learning Tree Nursery  -key as shown and again as: Learning Tree Nursery
*IF the new name involves a Human Name you will need to key 2 times.
Example:  Sarah K. Riley’s Swap Shop  -key following usual rules
RILEYS SARAH K SWAP SHOW AND again as: SARAH K RILEYS SWAP SHOP   (straight-forward)"
WAN,ASSUMED NAME WITHDRAWAL or ABANDONMENT,O,signatory party ,Business name withdrawn from,N,*(Follow same *IF instructions shown above for Assumed Name Document)
AAG,ASSUMPTION & RELEASE AGREEMENT,O,"purchaser, (sig.) & borrower, lender usually signs also, do not index lender as grantor",lender (take from signature area) ,N,
AAG,ASSUMPTION AGREEMENT,O,"purchaser, (sig.) & borrower, lender usually signs also, do not index lender as grantor",lender (take from signature area) ,N,
DE,ASSUMPTION DEED,O,"seller (sig.), and Lender if they sign the document add lender to grantor",purchaser,N,
WD,ASSUMPTION GENERAL WARRANTY DEED,O,"seller (sig.), and Lender if they sign the document add lender to grantor",purchaser,N,
WD,ASSUMPTION SPECIAL WARRANTY DEED,O,"seller (sig.), and Lender if they sign the document add lender to grantor",purchaser,N,
WD,ASSUMPTION WARRANTY DEED,O,"seller (sig.), and Lender if they sign the document add lender to grantor",purchaser,N,
AU,AUTHORIZATION,O,party giving authority (sig.),authority given to,N,
 RTP,AUTHORIZATION FOR TAX PAYMENT,O,signature & Taxpayer,party requested to pay,N,
TTL,AUTHORIZATION FOR TAX PAYMENT & TRANSFER OF TAX LIEN,O,signatures & Taxpayer,transferred to,N,*usually a two part document
LAW,AWARD LETTER,O,signatory party,recipient,N,
NO,"AWARD OF BID, NOTICE OF",O,party doing award,party awarded the bid,N,
BR,BANKRUPTCY PROCEEDINGS  (CERTIFIED COPY OF),O,bankrupt party     ,"""PUBLIC""",N,*Use certified copy date for i/date
BS,BILL OF SALE,O,seller (sig.),purchaser,N,
ABS,BILL OF SALE & ASSIGNMENT,O,"party assigning (sig.) & borrower, if any",assigned to,N,"*If multiple assignments with more than 8 borrowers, do not index any borrowers"
MC,BILL OF SALE OF MINERAL INTERESTS,O,seller (sig.),purchaser,N,
ROC,BILL OF SALE OF ROYALTY INTEREST,O,seller (sig.),purchaser,N,
BC,BIRTH CERTIFICATE  (CERTIFIED COPY OF),O,party issued for,"""PUBLIC""",N,*Use certified copy date for i/date
BO,BOND,O,principal & surety (being bonded & guaranteeing bond),bound unto,N,
BF,BOND FORFEITURE,O,party forfeiting,forfeited to,N,
BO,BOND OF PUBLIC OFFICIAL,O,principal & surety (being bonded & guaranteeing bond),bound unto,N,
BO,BOND TO PAY LIEN CLAIM,O,principal & surety (being bonded & guaranteeing bond),bound unto,N,
BA,BOUNDARY AGREEMENT,O,all signatures,all signatures,N,*If all do not sign use non-signatory owner as Grantee
ML,BUILDERS & MECHANICS LIEN CONTRACT,O,signature  (owner),"contractor & assigned to party, if any",N,
ML,BUILDERS & MECHANICS LIEN CONTRACT WITH ASSIGNMENT,O,signature  (owner),"contractor & assigned to party, if any",N,
ML,BUILDERS & RESIDENTIAL CONSTRUCTION LIEN CONTRACT,O,signature  (owner),"contractor & assigned to party, if any",N,
AK,BUILDERS WARRANTY,O,signatory party (purchaser),"seller, contractor, if given, otherwise ""PUBLIC""",N,
M,BY-LAWS,O,Business,"""PUBLIC""",N,
DEC,BY-LAWS OF ARCHTECTURAL CONTROL COMMITTEE; COMMUNITY ASSOCIATION; HOMEOWNERS ASSOCIATION AND OTHER LIKE SUBDIVISION ASSOCIATIONS,O,signatory party,"association, etc, name (ex. Architectural Control Committee of Restful Shores; Homeowners Association of Willow Bend, or Willow Bend Homeowners Association)",N,
CC,"BY-LAWS, CERTIFIED COPY OF",O,Business,"""PUBLIC""",N,
CAN,CANCELLATION,O,party canceling (sig.),"party whose rights are canceled  Or ""PUBLIC""",N,"*If all sign & no definition made, index all as grantor/grantee"
RLP,CANCELLATION  OF LIS PENDENS,O,signatory party (usually Plaintiff),released (usually Defendant),N,
CAN,CANCELLATION AGREEMENT,O,party canceling (sig.),"party whose rights are canceled  Or ""PUBLIC""",N,"*If all sign & no definition made, index all as grantor/grantee"
CAN,CANCELLATION OF CONTRACT,O,party canceling (sig.),"party whose rights are canceled  Or ""PUBLIC""",N,"*If all sign & no definition made, index all as grantor/grantee"
CAL,CANCELLATION OF LEASE,O,party canceling (sig.),"party whose rights are canceled  Or ""PUBLIC""",N,"*If all sign & no definition made, index all as grantor/grantee"
AG,CATHODIC PROTECTION UNIT AGREEMENT,O,signatory party,party rights granted unto,N,
MB,CATTLE BRAND (MARKS AND BRANDS),O,Owners and  Business (if given),"""PUBLIC""",N,
CEM,CEMETERY DEED,O,seller (sig.),purchaser,N,"*if doc has cemetery property but is titled other than above, go with the Title.  *If doc has Nothing  to do with Cemetery see CT instructions below for Type  and grantor/grantee"
CT,CERTIFICATE    (Not used for CT of Resolution RL),O,party giving certificate (sig.),"receiving certificate  Or ""PUBLIC""",N,
CT,"CERTIFICATE – If  the Title of  the Certificate you are indexing is not shown below,",O,,,N,please Consider what the Certificate is about before using code CT.  Examples: Certificate of Child Support Lien = CSL (not CT) and Certificate of Lis Pendens = LP (not CT)
JUD,CERTIFICATE OF ADJUDICATION,O,plaintiff,defendant,N,
AU,CERTIFICATE OF AUTHORIZATION,O,party giving authority (sig.),authority given to,N,
RFT,CERTIFICATE OF DISCHARGE OF PROPERTY FROM FEDERAL TAX LIEN,O,"Government Body  (""U S A INTERNAL REVENUE SERVICE"")",Taxpayer,N,
DIS,CERTIFICATE OF DISSOLUTION OF A BUSINESS (Certificate filed with the State),O,Business being dissolved,"""PUBLIC""",N,
UA,CERTIFICATE OF EFFECTIVENESS OF UNIT ENLARGEMENT (CHANGE),O,signature ,Unit Name,N,
UA,CERTIFICATE OF EFFECTIVENESS OF UNIT ENLARGEMENT (CHANGE),O,"signature- usually property owner, mineral owner, or royalty owner.
IF Lessee or Operator also sign, index as additional Grantees not Grantors  
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME*** 
Grantor- Lessee","Unit name  OR if no Unit Name index LESSEE (Current Lessee) 
(IF Title shows  Lease Being Ratified, Index both Unit Name & Current Lessee, if both given.
***IF ONLY THE LESSEE SIGNS & THERE IS NO UNIT NAME***
 Grantee- ""PUBLIC""",N,UNIT NAME INFORMATION
DEC,CERTIFICATE OF FORMATION etc. OF ARCHTECTURAL CONTROL COMMITTEE;    COMMUNITY ASSOCIATION; HOMEOWNERS ASSOCIATION AND OTHER LIKE   SUBDIVISION ASSOCIATIONS,O,signatory party,"association, etc, name (ex. Architectural Control Committee of Restful Shores; Homeowners Association of Willow Bend, or Willow Bend Homeowners Association)",N,
CI,CERTIFICATE OF INCORPORATION,O,Business names,"""PUBLIC""",N,
MER,CERTIFICATE OF MERGER     (MERGER),O,All business names,surviving business name,N,
CT,CERTIFICATE OF NO TAX DUE,O,issuer of certificate (usually government body) ,issued to (taxpayer),N,*If dealing with Inheritance Tax – see in I under Inheritance Tax   
CT,CERTIFICATE OF NONATTACHMENT OF FEDERAL TAX LIEN,O,"government agency    ""U S A INTERNAL REVENUE SERVICE"" (IRS\)",party said to be not affected by the lien,N,
CEM,CERTIFICATE OF OWNERSHIP,O,issuer of certificate (sig.),issued to,N,
